week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,25.3,6.2,14.09,831.0,0.0,212.06,100,0,34.7
2,16.5,4.4,10.81,770.0,0.0,181.1,100,2,71.23
3,21.3,3.4,11.56,873.0,0.0,224.14,100,0,38.53
4,30.6,6.0,14.19,929.0,0.0,244.75,100,0,27.92
5,31.7,8.9,18.63,968.0,0.0,280.45,100,0,27.82
6,27.0,9.8,17.48,946.0,0.0,279.15,100,0,56.68
7,30.5,9.4,15.98,1002.0,0.0,249.54,100,0,64.18
8,31.0,10.6,16.21,1001.0,0.0,223.48,100,0,68.86
9,33.9,8.2,17.79,1007.0,0.0,276.44,100,0,45.82
10,27.4,11.2,18.32,1000.0,0.0,303.86,100,0,54.24
11,24.0,10.3,17.33,1018.0,0.0,266.91,100,0,68.94
12,25.0,8.2,17.26,1013.0,0.0,284.57,100,0,57.53
13,32.3,9.9,18.95,1019.0,0.0,330.22,100,0,45.79
14,27.0,11.0,18.59,998.0,0.0,325.98,100,0,53.07
15,31.2,10.9,19.55,1024.0,0.0,324.41,100,0,39.92
16,38.4,14.0,23.24,1008.0,0.0,324.21,100,0,43.69
17,31.0,13.1,21.54,1003.0,0.0,315.65,100,0,43.12
18,30.4,15.1,22.18,999.0,0.0,311.45,100,0,50.2
19,31.0,14.2,23.01,1003.0,0.0,326.62,100,0,28.1
20,32.1,16.1,23.43,959.0,0.0,317.01,100,0,29.77
21,32.5,16.9,23.78,961.0,0.0,298.11,100,0,62.79
22,32.9,15.8,23.77,970.0,0.0,291.35,100,0,47.4
23,35.6,15.3,23.59,980.0,0.0,316.23,100,0,30.11
24,35.1,14.4,25.03,950.0,0.0,282.82,100,0,24.92
25,31.5,16.5,22.79,914.0,0.0,230.64,100,0,57.21
26,36.7,13.9,24.62,942.0,0.0,289.91,100,0,33.65
27,38.4,15.5,23.94,916.0,0.0,264.77,100,0,53.22
28,36.3,17.4,25.71,882.0,0.0,259.9,100,0,27.36
29,33.1,12.2,21.34,902.0,0.0,261.24,100,0,38.1
30,38.0,13.6,23.99,862.0,0.0,233.76,100,0,41.18
31,36.1,12.9,23.41,850.0,0.0,221.95,100,0,47.66
32,31.3,11.2,20.07,785.0,0.0,157.51,100,0,66.2
33,32.6,8.4,18.72,791.0,0.0,205.92,100,0,8.92
34,25.9,7.8,16.16,727.0,0.0,167.59,100,0,48.24
35,31.3,9.1,18.41,684.0,0.0,163.01,100,0,34.06
36,27.2,9.9,17.0,666.0,0.0,161.59,100,0,42.51
37,34.3,9.6,21.31,651.0,0.0,167.86,100,0,15.69
38,30.4,7.8,17.39,643.0,0.0,149.43,100,0,66.52
39,30.6,9.7,18.88,636.0,0.0,155.42,100,0,12.61
40,28.2,6.3,16.34,596.0,0.0,143.91,100,0,29.98
41,21.0,4.2,12.46,581.0,0.0,109.3,100,0,44.22
42,19.9,1.1,10.24,582.0,0.0,109.78,100,0,45.32
43,19.8,1.6,11.94,587.0,0.0,83.62,100,0,85.49
44,16.5,4.1,10.16,585.0,0.0,89.27,100,0,60.64
45,22.3,2.2,11.91,592.0,0.0,142.73,100,0,30.46
46,25.2,9.1,17.19,600.0,0.0,110.57,100,0,81.11
47,23.1,6.7,14.44,626.0,0.0,138.51,100,0,27.48
48,22.9,5.6,14.18,676.0,0.0,155.99,100,0,34.33
49,25.6,3.5,13.21,705.0,0.0,172.8,100,0,23.53
50,31.7,8.1,20.69,752.0,0.0,199.21,99,0,6.99
51,27.0,3.5,13.76,769.0,0.0,193.17,100,0,26.57
52,23.7,0.9,10.9,806.0,0.0,180.6,100,0,47.05
53,29.2,4.0,15.32,824.0,0.0,213.7,100,0,38.27
54,25.6,5.0,14.01,869.0,0.0,240.16,100,0,15.14
55,28.5,6.7,16.83,883.0,0.0,251.22,100,0,31.92
56,31.9,8.1,19.11,922.0,0.0,269.02,100,0,45.43
57,20.4,8.6,14.84,898.0,0.0,171.77,100,0,80.33
58,36.5,10.8,20.99,961.0,0.0,288.42,100,0,30.85
59,23.6,7.3,15.69,983.0,0.0,279.26,100,0,35.31
60,30.5,7.8,16.84,994.0,0.0,299.85,100,0,40.21
61,32.8,10.4,18.44,1003.0,0.0,304.18,100,0,45.77
62,28.1,9.6,18.43,1002.0,0.0,296.36,100,0,58.21
63,34.5,7.7,19.48,1025.0,0.0,332.66,100,0,29.6
64,26.0,11.7,18.14,990.0,0.0,274.07,100,0,69.11
65,24.4,11.0,18.06,999.0,0.0,288.26,100,0,69.45
66,26.9,12.1,19.11,1015.0,0.0,323.02,100,0,54.7
67,29.6,13.4,21.56,1000.0,0.0,336.59,100,0,43.23
68,27.9,11.9,20.09,1015.0,0.0,337.82,100,0,38.34
69,35.5,13.4,24.57,1029.0,0.0,340.9,100,0,17.05
70,35.8,15.1,23.94,1000.0,0.0,334.64,100,0,27.32
71,31.5,14.1,21.99,1004.0,0.0,334.96,100,0,39.58
72,30.5,14.1,21.94,982.0,0.0,309.85,100,0,54.6
73,33.2,15.7,23.59,979.0,0.0,319.58,100,0,52.96
74,33.2,15.2,23.29,973.0,0.0,291.1,100,0,65.35
75,35.7,17.8,25.46,963.0,0.0,299.85,100,0,47.36
76,36.5,18.1,26.91,938.0,0.0,305.48,100,0,32.07
77,33.2,16.8,24.62,939.0,0.0,291.51,100,0,36.85
78,31.5,16.4,23.65,930.0,0.0,287.43,100,0,40.26
79,40.8,16.8,28.5,914.0,0.0,263.4,100,0,24.77
80,39.0,19.6,27.44,886.0,0.0,183.53,100,0,55.86
81,28.9,15.1,22.22,873.0,0.0,229.71,100,0,53.85
82,33.9,13.4,23.59,872.0,0.0,250.9,100,0,19.46
83,35.0,14.4,23.61,824.0,0.0,228.61,100,0,42.04
84,30.0,15.8,22.24,773.0,0.0,195.89,100,0,55.2
85,27.3,15.9,20.76,737.0,0.0,146.1,100,0,75.9
86,34.5,12.2,21.54,710.0,0.0,173.73,100,0,37.65
87,27.6,9.4,17.87,715.0,0.0,188.33,100,0,15.91
88,28.7,6.4,15.56,687.0,0.0,168.08,100,0,43.24
89,20.5,5.9,13.33,661.0,0.0,130.49,100,0,46.49
90,25.2,5.3,14.77,659.0,0.0,167.2,100,0,11.9
91,26.0,6.8,15.79,631.0,0.0,157.8,100,0,27.09
92,21.5,6.6,13.12,544.0,0.0,95.3,100,0,87.6
93,17.8,4.0,11.23,584.0,0.0,109.53,100,0,44.41
94,19.7,3.0,10.36,576.0,0.0,126.2,100,0,47.98
95,29.0,3.5,14.66,580.0,0.0,140.7,100,0,23.26
96,28.3,9.0,14.49,537.0,0.0,83.03,100,0,86.78
97,19.4,5.3,12.14,587.0,0.0,92.56,100,0,79.72
98,20.8,6.6,12.39,539.0,0.0,81.99,100,0,91.86
99,16.9,2.4,9.74,627.0,0.0,143.26,100,0,35.11
100,20.6,4.0,11.4,661.0,0.0,151.39,100,0,18.3
101,20.7,3.5,11.78,686.0,0.0,152.05,100,0,44.27
102,26.0,4.0,13.58,726.0,0.0,184.93,100,0,30.99
103,19.7,2.5,10.88,758.0,0.0,172.73,100,0,58.51
104,22.6,1.5,9.17,746.0,0.0,137.55,100,0,62.23
105,15.1,0.1,8.49,813.0,0.0,163.86,100,0,57.77
106,18.6,5.0,11.91,815.0,0.0,161.94,100,0,85.47
107,23.4,5.7,13.69,883.0,0.0,148.76,100,0,86.63
108,17.3,4.3,11.61,907.0,0.0,196.83,100,0,56.11
109,21.5,3.2,11.46,939.0,0.0,234.9,100,0,46.8
110,22.1,2.7,12.89,960.0,0.0,276.69,100,0,47.65
111,22.5,7.4,14.34,952.0,0.0,228.34,100,0,77.08
112,30.7,8.0,17.32,973.0,0.0,284.31,100,0,43.44
113,26.0,10.3,16.89,976.0,0.0,289.39,100,0,71.54
114,21.0,7.8,13.7,948.0,0.0,229.77,100,1,79.54
115,24.8,9.2,16.61,1001.0,0.0,295.1,100,0,67.13
116,23.8,11.2,17.38,977.0,0.0,284.09,100,0,77.32
117,22.8,12.4,17.3,968.0,0.0,260.85,100,0,89.01
118,22.9,11.8,17.11,972.0,0.0,218.58,100,0,85.49
119,24.0,11.8,17.41,968.0,0.0,228.76,100,1,91.38
120,27.0,13.7,19.14,1011.0,0.0,270.15,100,0,77.12
121,26.8,11.2,18.76,1026.0,0.0,331.26,100,0,46.32
122,29.8,11.8,19.69,1016.0,0.0,338.66,100,0,41.27
123,29.7,11.1,19.65,1030.0,0.0,342.62,100,0,48.45
124,35.0,13.4,24.04,987.0,0.0,328.88,100,0,37.11
125,34.4,16.0,24.49,971.0,0.0,302.45,100,0,46.57
126,36.5,16.3,25.39,965.0,0.0,311.24,100,0,32.01
127,33.3,14.9,24.26,1003.0,0.0,302.64,100,0,39.49
128,31.9,16.3,23.55,972.0,0.0,272.34,100,0,47.73
129,37.3,15.6,24.11,943.0,0.0,247.27,100,0,59.73
130,35.5,15.4,22.43,932.0,0.0,278.22,100,0,35.85
131,37.8,17.3,24.69,924.0,0.0,246.18,100,0,37.25
132,35.7,14.9,23.42,907.0,0.0,251.85,100,0,44.47
133,32.6,14.8,22.16,871.0,0.0,215.82,100,0,67.94
134,27.4,12.8,19.47,864.0,0.0,199.33,100,0,58.86
