file_num,location,latitude,longitude,num_evs,num_people,num_daytime_occupants,budget_usd,roof_length_m,roof_breadth_m,rate_plan,status
1,La_Jolla,32.8328,-117.2713,0,1,0,25000,8.0,6.25,TOU_DR,validation_errors
2,La_Jolla,32.8328,-117.2713,0,1,1,25000,8.0,6.25,TOU_DR,validation_errors
3,La_Jolla,32.8328,-117.2713,0,2,0,25000,8.0,6.25,TOU_DR,validation_errors
4,La_Jolla,32.8328,-117.2713,0,2,1,25000,8.0,6.25,TOU_DR,validation_errors
5,La_Jolla,32.8328,-117.2713,0,2,2,25000,8.0,6.25,TOU_DR,validation_errors
6,La_Jolla,32.8328,-117.2713,0,3,0,25000,8.0,6.25,TOU_DR,validation_errors
7,La_Jolla,32.8328,-117.2713,0,3,1,25000,8.0,6.25,TOU_DR,validation_errors
8,La_Jolla,32.8328,-117.2713,0,3,2,25000,8.0,6.25,TOU_DR,validation_errors
9,La_Jolla,32.8328,-117.2713,1,1,0,25000,8.0,6.25,TOU_DR,error
10,La_Jolla,32.8328,-117.2713,1,1,1,25000,8.0,6.25,TOU_DR,validation_errors
11,La_Jolla,32.8328,-117.2713,1,2,0,25000,8.0,6.25,TOU_DR,validation_errors
12,La_Jolla,32.8328,-117.2713,1,2,1,25000,8.0,6.25,TOU_DR,validation_errors
13,La_Jolla,32.8328,-117.2713,1,2,2,25000,8.0,6.25,TOU_DR,validation_errors
14,La_Jolla,32.8328,-117.2713,1,3,0,25000,8.0,6.25,TOU_DR,validation_errors
15,La_Jolla,32.8328,-117.2713,1,3,1,25000,8.0,6.25,TOU_DR,validation_errors
16,La_Jolla,32.8328,-117.2713,1,3,2,25000,8.0,6.25,TOU_DR,validation_errors
17,La_Jolla,32.8328,-117.2713,2,1,0,25000,8.0,6.25,TOU_DR,validation_errors
18,La_Jolla,32.8328,-117.2713,2,1,1,25000,8.0,6.25,TOU_DR,validation_errors
19,La_Jolla,32.8328,-117.2713,2,2,0,25000,8.0,6.25,TOU_DR,validation_errors
20,La_Jolla,32.8328,-117.2713,2,2,1,25000,8.0,6.25,TOU_DR,validation_errors
21,La_Jolla,32.8328,-117.2713,2,2,2,25000,8.0,6.25,TOU_DR,validation_errors
22,La_Jolla,32.8328,-117.2713,2,3,0,25000,8.0,6.25,TOU_DR,validation_errors
23,La_Jolla,32.8328,-117.2713,2,3,1,25000,8.0,6.25,TOU_DR,validation_errors
24,La_Jolla,32.8328,-117.2713,2,3,2,25000,8.0,6.25,TOU_DR,validation_errors
25,Oceanside,33.1959,-117.3795,0,1,0,25000,8.0,6.25,TOU_DR,validation_errors
26,Oceanside,33.1959,-117.3795,0,1,1,25000,8.0,6.25,TOU_DR,validation_errors
