file_num,location,latitude,longitude,num_evs,num_people,num_daytime_occupants,budget_usd,roof_length_m,roof_breadth_m,rate_plan,status
27,Oceanside,33.1959,-117.3795,0,2,0,25000,8.0,6.25,TOU_DR,validation_errors
28,Oceanside,33.1959,-117.3795,0,2,1,25000,8.0,6.25,TOU_DR,validation_errors
29,Oceanside,33.1959,-117.3795,0,2,2,25000,8.0,6.25,TOU_DR,validation_errors
30,Oceanside,33.1959,-117.3795,0,3,0,25000,8.0,6.25,TOU_DR,validation_errors
31,Oceanside,33.1959,-117.3795,0,3,1,25000,8.0,6.25,TOU_DR,error
32,Oceanside,33.1959,-117.3795,0,3,2,25000,8.0,6.25,TOU_DR,validation_errors
33,Oceanside,33.1959,-117.3795,1,1,0,25000,8.0,6.25,TOU_DR,validation_errors
34,Oceanside,33.1959,-117.3795,1,1,1,25000,8.0,6.25,TOU_DR,validation_errors
35,Oceanside,33.1959,-117.3795,1,2,0,25000,8.0,6.25,TOU_DR,validation_errors
36,Oceanside,33.1959,-117.3795,1,2,1,25000,8.0,6.25,TOU_DR,validation_errors
37,Oceanside,33.1959,-117.3795,1,2,2,25000,8.0,6.25,TOU_DR,validation_errors
38,Oceanside,33.1959,-117.3795,1,3,0,25000,8.0,6.25,TOU_DR,validation_errors
39,Oceanside,33.1959,-117.3795,1,3,1,25000,8.0,6.25,TOU_DR,validation_errors
40,Oceanside,33.1959,-117.3795,1,3,2,25000,8.0,6.25,TOU_DR,validation_errors
41,Oceanside,33.1959,-117.3795,2,1,0,25000,8.0,6.25,TOU_DR,validation_errors
42,Oceanside,33.1959,-117.3795,2,1,1,25000,8.0,6.25,TOU_DR,validation_errors
43,Oceanside,33.1959,-117.3795,2,2,0,25000,8.0,6.25,TOU_DR,validation_errors
44,Oceanside,33.1959,-117.3795,2,2,1,25000,8.0,6.25,TOU_DR,validation_errors
45,Oceanside,33.1959,-117.3795,2,2,2,25000,8.0,6.25,TOU_DR,validation_errors
46,Oceanside,33.1959,-117.3795,2,3,0,25000,8.0,6.25,TOU_DR,validation_errors
47,Oceanside,33.1959,-117.3795,2,3,1,25000,8.0,6.25,TOU_DR,validation_errors
48,Oceanside,33.1959,-117.3795,2,3,2,25000,8.0,6.25,TOU_DR,validation_errors
49,Coronado,32.6859,-117.1831,0,1,0,25000,8.0,6.25,TOU_DR,validation_errors
50,Coronado,32.6859,-117.1831,0,1,1,25000,8.0,6.25,TOU_DR,validation_errors
51,Coronado,32.6859,-117.1831,0,2,0,25000,8.0,6.25,TOU_DR,validation_errors
52,Coronado,32.6859,-117.1831,0,2,1,25000,8.0,6.25,TOU_DR,validation_errors
53,Coronado,32.6859,-117.1831,0,2,2,25000,8.0,6.25,TOU_DR,validation_errors
54,Coronado,32.6859,-117.1831,0,3,0,25000,8.0,6.25,TOU_DR,validation_errors
55,Coronado,32.6859,-117.1831,0,3,1,25000,8.0,6.25,TOU_DR,validation_errors
56,Coronado,32.6859,-117.1831,0,3,2,25000,8.0,6.25,TOU_DR,validation_errors
57,Coronado,32.6859,-117.1831,1,1,0,25000,8.0,6.25,TOU_DR,validation_errors
58,Coronado,32.6859,-117.1831,1,1,1,25000,8.0,6.25,TOU_DR,validation_errors
59,Coronado,32.6859,-117.1831,1,2,0,25000,8.0,6.25,TOU_DR,validation_errors
60,Coronado,32.6859,-117.1831,1,2,1,25000,8.0,6.25,TOU_DR,validation_errors
61,Coronado,32.6859,-117.1831,1,2,2,25000,8.0,6.25,TOU_DR,validation_errors
62,Coronado,32.6859,-117.1831,1,3,0,25000,8.0,6.25,TOU_DR,validation_errors
63,Coronado,32.6859,-117.1831,1,3,1,25000,8.0,6.25,TOU_DR,validation_errors
64,Coronado,32.6859,-117.1831,1,3,2,25000,8.0,6.25,TOU_DR,validation_errors
65,Coronado,32.6859,-117.1831,2,1,0,25000,8.0,6.25,TOU_DR,validation_errors
66,Coronado,32.6859,-117.1831,2,1,1,25000,8.0,6.25,TOU_DR,validation_errors
67,Coronado,32.6859,-117.1831,2,2,0,25000,8.0,6.25,TOU_DR,validation_errors
68,Coronado,32.6859,-117.1831,2,2,1,25000,8.0,6.25,TOU_DR,validation_errors
69,Coronado,32.6859,-117.1831,2,2,2,25000,8.0,6.25,TOU_DR,validation_errors
70,Coronado,32.6859,-117.1831,2,3,0,25000,8.0,6.25,TOU_DR,validation_errors
71,Coronado,32.6859,-117.1831,2,3,1,25000,8.0,6.25,TOU_DR,validation_errors
72,Coronado,32.6859,-117.1831,2,3,2,25000,8.0,6.25,TOU_DR,validation_errors
