week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.562,1.477,2.5831,2020-12-31
2,3.397,1.627,2.5348,2021-01-07
3,3.529,1.607,2.5092,2021-01-14
4,3.833,1.626,2.6168,2021-01-21
5,3.507,1.398,2.553,2021-01-28
6,3.545,1.339,2.4117,2021-02-04
7,3.463,1.346,2.437,2021-02-11
8,3.455,1.208,2.3275,2021-02-18
9,3.544,1.017,2.3738,2021-02-25
10,3.434,1.296,2.3046,2021-03-04
11,3.437,1.155,2.3934,2021-03-11
12,3.219,1.232,2.2206,2021-03-18
13,3.438,1.063,2.2307,2021-03-25
14,3.402,1.036,2.2244,2021-04-01
15,3.227,1.108,2.2129,2021-04-08
16,3.27,1.007,2.1573,2021-04-15
17,3.196,0.886,2.2359,2021-04-22
18,3.573,1.345,2.2831,2021-04-29
19,3.188,1.043,2.1883,2021-05-06
20,3.079,1.332,2.2445,2021-05-13
21,3.35,0.875,2.1587,2021-05-20
22,3.313,1.068,2.2193,2021-05-27
23,3.404,1.107,2.2794,2021-06-03
24,4.459,1.203,2.4691,2021-06-10
25,3.58,1.659,2.6118,2021-06-17
26,3.542,1.618,2.5425,2021-06-24
27,3.6,1.639,2.583,2021-07-01
28,3.966,2.029,2.9059,2021-07-08
29,4.401,2.151,3.1257,2021-07-15
30,4.213,2.28,3.018,2021-07-22
31,4.443,1.88,3.0129,2021-07-29
32,4.536,1.488,2.9175,2021-08-05
33,4.589,2.112,3.3071,2021-08-12
34,4.237,1.847,2.8618,2021-08-19
35,4.779,2.117,3.0897,2021-08-26
36,4.662,2.056,3.0325,2021-09-02
37,4.722,2.003,3.1907,2021-09-09
38,4.686,1.381,2.8335,2021-09-16
39,4.375,1.924,2.7983,2021-09-23
40,4.024,1.917,2.8307,2021-09-30
41,3.403,1.41,2.5151,2021-10-07
42,3.401,1.534,2.4548,2021-10-14
43,3.407,1.487,2.4429,2021-10-21
44,3.49,1.468,2.5044,2021-10-28
45,3.529,1.208,2.4544,2021-11-04
46,3.913,1.622,2.5509,2021-11-11
47,3.4,1.552,2.4873,2021-11-18
48,3.574,1.593,2.4444,2021-11-25
49,4.513,1.678,2.6897,2021-12-02
50,3.937,1.4,2.7857,2021-12-09
51,3.924,1.354,2.7029,2021-12-16
52,3.786,1.61,2.7294,2021-12-23
53,3.698,1.385,2.6049,2021-12-30
54,3.575,1.559,2.5908,2022-01-06
55,3.505,1.798,2.579,2022-01-13
56,3.509,1.408,2.4998,2022-01-20
