week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
57,3.624,1.382,2.5988,2022-01-27
58,3.375,1.33,2.4587,2022-02-03
59,3.479,1.593,2.4885,2022-02-10
60,3.533,1.288,2.4578,2022-02-17
61,3.324,1.204,2.3704,2022-02-24
62,3.416,1.302,2.3583,2022-03-03
63,3.27,1.246,2.268,2022-03-10
64,3.894,1.187,2.3058,2022-03-17
65,3.416,0.843,2.2598,2022-03-24
66,3.276,1.362,2.3565,2022-03-31
67,4.059,1.282,2.407,2022-04-07
68,3.27,0.944,2.1477,2022-04-14
69,3.492,0.918,2.1444,2022-04-21
70,3.103,1.046,2.1378,2022-04-28
71,3.235,1.159,2.1854,2022-05-05
72,3.563,1.187,2.2715,2022-05-12
73,3.283,1.004,2.3298,2022-05-19
74,3.271,0.81,2.2046,2022-05-26
75,3.354,1.043,2.3535,2022-06-02
76,3.593,1.398,2.4935,2022-06-09
77,3.843,1.019,2.4702,2022-06-16
78,4.222,1.688,2.9314,2022-06-23
79,3.982,1.288,2.6665,2022-06-30
80,3.766,1.558,2.6678,2022-07-07
81,4.554,1.958,2.9149,2022-07-14
82,3.986,1.759,2.8725,2022-07-21
83,4.46,2.351,3.1421,2022-07-28
84,5.212,2.232,3.3786,2022-08-04
85,5.088,2.566,3.5706,2022-08-11
86,4.599,2.106,3.2243,2022-08-18
87,5.173,2.026,3.3522,2022-08-25
88,5.672,2.906,4.2329,2022-09-01
89,5.341,2.479,3.7154,2022-09-08
90,4.022,1.545,2.7839,2022-09-15
91,4.922,2.244,3.2301,2022-09-22
92,4.06,1.654,2.9031,2022-09-29
93,3.926,1.959,2.9321,2022-10-06
94,4.611,2.08,2.868,2022-10-13
95,4.096,1.395,2.6494,2022-10-20
96,3.56,1.529,2.54,2022-10-27
97,3.56,1.364,2.5487,2022-11-03
98,3.514,1.461,2.5135,2022-11-10
99,3.429,1.579,2.5256,2022-11-17
100,3.62,1.379,2.4846,2022-11-24
101,3.76,1.562,2.6617,2022-12-01
102,3.836,1.42,2.8117,2022-12-08
103,3.729,1.762,2.8068,2022-12-15
104,3.605,1.604,2.6205,2022-12-22
105,3.674,2.022,2.724,2022-12-29
106,3.589,1.376,2.703,2023-01-05
107,3.608,1.619,2.7725,2023-01-12
108,3.676,1.435,2.6427,2023-01-19
109,3.606,1.615,2.6609,2023-01-26
110,3.475,1.38,2.5146,2023-02-02
111,3.56,1.16,2.4994,2023-02-09
112,3.7,1.199,2.5288,2023-02-16
113,3.715,1.208,2.7073,2023-02-23
114,3.419,1.323,2.4758,2023-03-02
115,3.579,1.321,2.5466,2023-03-09
116,3.459,0.974,2.4543,2023-03-16
117,3.285,1.056,2.3567,2023-03-23
118,3.19,0.713,2.2546,2023-03-30
119,3.249,0.668,2.1829,2023-04-06
120,3.281,0.888,2.3189,2023-04-13
121,3.136,0.77,2.1924,2023-04-20
122,3.134,0.817,2.1979,2023-04-27
123,3.155,0.606,2.1312,2023-05-04
124,3.228,0.885,2.254,2023-05-11
125,3.162,0.746,2.3946,2023-05-18
126,3.735,0.994,2.2487,2023-05-25
127,3.612,0.506,2.2512,2023-06-01
128,3.379,1.2,2.3493,2023-06-08
129,3.432,1.251,2.3567,2023-06-15
130,3.298,0.737,2.1812,2023-06-22
131,3.357,1.135,2.3555,2023-06-29
132,4.301,0.945,2.4856,2023-07-06
133,4.327,1.681,3.0309,2023-07-13
134,4.608,1.901,3.102,2023-07-20
135,4.39,2.268,3.2484,2023-07-27
136,4.144,1.724,2.9888,2023-08-03
137,4.629,1.682,3.0504,2023-08-10
138,4.156,1.951,3.0116,2023-08-17
139,5.073,1.568,3.1612,2023-08-24
140,4.136,1.307,2.9554,2023-08-31
141,4.742,1.968,3.2565,2023-09-07
142,3.636,1.535,2.749,2023-09-14
143,3.674,1.083,2.6461,2023-09-21
144,3.72,1.284,2.532,2023-09-28
145,4.058,1.594,2.8142,2023-10-05
146,3.894,1.088,2.5945,2023-10-12
147,4.145,1.05,2.6881,2023-10-19
148,3.534,1.092,2.4816,2023-10-26
149,3.525,1.437,2.509,2023-11-02
150,3.461,1.206,2.5226,2023-11-09
151,3.511,1.724,2.5569,2023-11-16
152,3.507,1.18,2.4737,2023-11-23
153,3.665,1.283,2.6307,2023-11-30
154,3.638,1.565,2.6778,2023-12-07
155,3.639,1.814,2.707,2023-12-14
156,3.504,1.744,2.6025,2023-12-21
157,3.515,1.653,2.6045,2023-12-28
158,3.776,1.486,2.7239,2024-01-04
159,3.646,1.658,2.6516,2024-01-11
160,3.691,1.91,2.7096,2024-01-18
161,3.359,1.385,2.4622,2024-01-25
162,3.641,1.379,2.7479,2024-02-01
163,3.403,1.348,2.5246,2024-02-08
164,3.398,1.084,2.5241,2024-02-15
165,3.371,1.354,2.4891,2024-02-22
166,3.413,1.518,2.4764,2024-02-29
167,3.342,0.966,2.3485,2024-03-07
168,3.346,0.929,2.3083,2024-03-14
169,3.199,1.156,2.291,2024-03-21
170,3.12,1.185,2.3486,2024-03-28
171,3.526,0.951,2.2314,2024-04-04
172,3.18,1.004,2.2397,2024-04-11
173,3.095,0.875,2.2633,2024-04-18
174,3.234,0.874,2.2434,2024-04-25
175,3.15,0.793,2.2197,2024-05-02
176,3.21,0.94,2.2186,2024-05-09
177,3.209,0.667,2.2019,2024-05-16
178,3.167,0.678,2.1736,2024-05-23
179,3.204,0.85,2.2438,2024-05-30
180,3.326,1.0,2.3179,2024-06-06
181,3.246,0.786,2.2671,2024-06-13
182,4.162,1.385,2.7802,2024-06-20
183,3.877,1.248,2.642,2024-06-27
184,4.069,1.621,2.8301,2024-07-04
185,4.002,1.705,2.8448,2024-07-11
186,4.784,2.027,3.1095,2024-07-18
187,4.959,1.619,3.0366,2024-07-25
188,4.621,2.089,3.2457,2024-08-01
189,4.898,1.907,3.2247,2024-08-08
190,4.875,1.74,3.2208,2024-08-15
191,4.438,1.601,2.9769,2024-08-22
192,5.143,1.651,3.0176,2024-08-29
193,6.065,2.394,4.0375,2024-09-05
194,3.665,1.614,2.7339,2024-09-12
195,3.608,1.526,2.6622,2024-09-19
196,3.751,1.101,2.6056,2024-09-26
197,4.064,1.68,2.8084,2024-10-03
198,3.672,1.452,2.7034,2024-10-10
199,3.952,1.358,2.6252,2024-10-17
200,3.771,1.673,2.6645,2024-10-24
201,3.398,1.559,2.5813,2024-10-31
202,3.658,1.349,2.4815,2024-11-08
203,3.585,1.59,2.6072,2024-11-15
204,3.44,1.679,2.6003,2024-11-22
205,3.503,1.38,2.5995,2024-11-29
206,3.725,1.379,2.6995,2024-12-06
207,3.628,1.796,2.7599,2024-12-13
208,3.608,1.569,2.6952,2024-12-20
209,3.53,1.752,2.7105,2024-12-27
210,3.573,1.737,2.7207,2025-01-03
211,3.575,1.405,2.6691,2025-01-10
212,3.532,1.388,2.6325,2025-01-17
213,3.65,1.577,2.7322,2025-01-24
214,3.465,1.468,2.6467,2025-01-31
215,3.691,1.376,2.7733,2025-02-07
216,3.448,1.341,2.4844,2025-02-14
217,3.375,1.321,2.4318,2025-02-21
218,3.487,1.709,2.5534,2025-02-28
219,3.46,1.316,2.6187,2025-03-07
220,3.487,1.293,2.4522,2025-03-14
221,3.42,1.096,2.341,2025-03-21
222,3.386,1.345,2.418,2025-03-28
223,3.421,0.961,2.2616,2025-04-04
224,3.251,1.044,2.373,2025-04-11
225,3.135,1.093,2.241,2025-04-18
226,3.211,1.131,2.2798,2025-04-25
227,3.262,1.291,2.4898,2025-05-02
228,3.759,1.163,2.4093,2025-05-09
229,3.565,1.508,2.4474,2025-05-16
230,3.272,1.215,2.4056,2025-05-23
231,3.429,1.845,2.7266,2025-05-30
232,3.358,1.564,2.545,2025-06-06
233,4.103,1.547,2.6433,2025-06-13
234,3.469,1.042,2.4576,2025-06-20
235,3.784,1.503,2.6863,2025-06-27
236,4.202,1.293,2.7584,2025-07-04
237,3.771,1.357,2.8289,2025-07-11
238,3.832,1.581,2.8484,2025-07-18
239,3.835,1.348,2.7045,2025-07-25
240,4.431,1.626,2.9406,2025-08-01
241,4.039,2.069,3.0377,2025-08-08
242,4.579,1.494,3.0623,2025-08-15
243,4.745,2.556,3.615,2025-08-22
244,5.062,2.54,3.67,2025-08-29
245,4.504,2.324,3.2794,2025-09-05
246,4.875,1.912,3.3019,2025-09-12
247,4.765,2.405,3.3393,2025-09-19
248,3.815,1.736,2.9753,2025-09-26
249,3.747,1.461,2.8067,2025-10-03
250,3.751,1.907,2.8584,2025-10-10
251,3.553,1.81,2.672,2025-10-17
252,3.8,1.729,2.7771,2025-10-24
253,4.335,1.742,2.7793,2025-10-31
254,3.734,1.614,2.7835,2025-11-07
255,3.593,1.923,2.7512,2025-11-14
256,3.484,1.81,2.7239,2025-11-21
257,3.54,1.834,2.684,2025-11-28
258,3.748,1.683,2.807,2025-12-05
259,3.678,2.107,2.8632,2025-12-12
260,3.751,2.143,2.8664,2025-12-19
261,3.658,2.239,2.8474,2025-12-26
262,3.808,2.242,2.8853,2026-01-02
263,3.805,2.097,2.8977,2026-01-09
264,4.053,2.117,2.8777,2026-01-16
265,3.988,2.262,2.8371,2026-01-23
