week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,24.2,3.2,12.54,834.0,0.0,210.18,100,0,32.98
2,16.0,4.7,10.88,802.0,0.0,197.1,100,0,63.02
3,17.2,3.8,10.99,872.0,0.0,225.82,100,0,36.98
4,26.4,5.1,12.93,933.0,0.0,246.9,100,0,23.9
5,30.4,7.7,16.21,965.0,0.0,277.31,100,0,32.85
6,21.3,10.1,15.6,950.0,0.0,273.88,100,0,57.74
7,29.2,10.2,15.23,997.0,0.0,250.02,100,0,60.85
8,25.1,10.6,15.32,1000.0,0.0,225.6,100,0,65.18
9,27.1,8.1,16.35,1007.0,0.0,282.43,100,0,42.99
10,21.9,12.2,16.82,997.0,0.0,298.26,100,0,53.12
11,20.6,11.8,16.61,1016.0,0.0,262.51,100,0,61.39
12,21.2,9.5,16.56,1013.0,0.0,289.22,100,0,49.23
13,25.8,11.1,17.47,1020.0,0.0,326.87,100,0,38.24
14,22.0,12.6,17.49,999.0,0.0,318.15,100,0,45.68
15,25.3,12.0,18.09,1027.0,0.0,320.68,100,0,41.11
16,30.0,14.4,20.69,1005.0,0.0,323.5,100,0,43.0
17,25.0,14.1,19.66,1002.0,0.0,311.02,100,0,34.6
18,24.6,15.4,20.31,974.0,0.0,304.4,100,0,45.43
19,26.7,15.8,21.09,1002.0,0.0,322.94,100,0,18.5
20,26.2,17.6,21.84,959.0,0.0,317.1,100,0,20.48
21,27.3,18.5,22.52,960.0,0.0,289.74,100,0,57.49
22,26.4,16.2,21.43,973.0,0.0,291.24,100,0,43.18
23,27.9,15.6,21.26,975.0,0.0,314.01,100,0,26.7
24,29.0,16.8,22.99,944.0,0.0,284.33,100,0,19.58
25,27.7,18.6,22.19,913.0,0.0,228.34,100,0,54.9
26,29.8,15.6,22.05,932.0,0.0,286.45,100,0,34.02
27,30.5,15.5,22.04,913.0,0.0,257.95,100,0,49.21
28,30.0,17.6,23.45,879.0,0.0,259.77,100,0,25.11
29,26.4,13.9,19.98,899.0,0.0,259.6,100,0,35.79
30,30.4,14.1,21.53,863.0,0.0,232.57,100,0,38.89
31,32.5,14.1,21.77,851.0,0.0,217.79,100,0,45.71
32,28.0,11.9,19.18,787.0,0.0,157.33,100,0,62.78
33,30.6,8.1,17.34,762.0,0.0,196.23,100,0,8.7
34,21.9,9.1,15.66,696.0,0.0,163.61,100,0,45.06
