week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.456,1.382,2.4214,2020-12-31
2,3.243,1.507,2.3784,2021-01-07
3,3.272,1.51,2.3366,2021-01-14
4,3.622,1.618,2.457,2021-01-21
5,3.306,1.343,2.3871,2021-01-28
6,3.183,1.263,2.2625,2021-02-04
7,3.14,1.192,2.2736,2021-02-11
8,3.199,1.144,2.1775,2021-02-18
9,3.185,0.978,2.211,2021-02-25
10,3.159,1.309,2.1616,2021-03-04
11,3.243,1.204,2.2438,2021-03-11
12,3.021,1.171,2.072,2021-03-18
13,3.169,0.956,2.0854,2021-03-25
14,3.107,1.021,2.0806,2021-04-01
15,2.909,1.051,2.0682,2021-04-08
16,3.079,0.913,2.0172,2021-04-15
17,2.975,0.896,2.0995,2021-04-22
18,3.32,1.285,2.1318,2021-04-29
19,3.05,0.968,2.0469,2021-05-06
20,2.961,1.226,2.0946,2021-05-13
21,3.256,0.828,2.0261,2021-05-20
22,3.144,1.009,2.073,2021-05-27
23,3.132,1.001,2.1348,2021-06-03
24,4.295,1.165,2.3161,2021-06-10
25,3.382,1.51,2.4455,2021-06-17
26,3.366,1.484,2.3797,2021-06-24
27,3.447,1.541,2.4206,2021-07-01
28,3.69,1.921,2.7135,2021-07-08
29,4.252,2.014,2.9334,2021-07-15
30,3.846,2.07,2.8199,2021-07-22
31,4.125,1.787,2.8136,2021-07-29
32,4.396,1.511,2.7301,2021-08-05
33,4.46,2.041,3.1144,2021-08-12
34,4.168,1.836,2.6935,2021-08-19
35,4.569,2.034,2.8886,2021-08-26
36,4.376,1.914,2.8615,2021-09-02
37,4.54,1.947,2.9913,2021-09-09
38,4.532,1.35,2.6515,2021-09-16
39,3.855,1.883,2.6148,2021-09-23
40,3.774,1.843,2.6325,2021-09-30
41,3.226,1.349,2.3409,2021-10-07
42,3.251,1.4,2.3099,2021-10-14
43,3.197,1.329,2.2862,2021-10-21
44,3.494,1.404,2.3503,2021-10-28
45,3.262,1.183,2.2959,2021-11-04
46,3.502,1.579,2.3983,2021-11-11
47,3.24,1.518,2.3399,2021-11-18
48,3.414,1.428,2.291,2021-11-25
49,4.347,1.499,2.5059,2021-12-02
50,3.637,1.264,2.5957,2021-12-09
51,3.552,1.294,2.5334,2021-12-16
52,3.447,1.522,2.5658,2021-12-23
53,3.445,1.273,2.4319,2021-12-30
54,3.255,1.458,2.4194,2022-01-06
55,3.213,1.742,2.4131,2022-01-13
56,3.161,1.395,2.3421,2022-01-20
57,3.296,1.28,2.4206,2022-01-27
58,3.216,1.26,2.3066,2022-02-03
59,3.388,1.484,2.3193,2022-02-10
60,3.267,1.215,2.3032,2022-02-17
61,3.207,1.21,2.2193,2022-02-24
62,3.02,1.253,2.2025,2022-03-03
63,3.126,1.184,2.1317,2022-03-10
64,3.435,1.056,2.163,2022-03-17
65,3.248,0.798,2.113,2022-03-24
66,3.276,1.282,2.2184,2022-03-31
67,3.96,1.175,2.243,2022-04-07
68,3.068,0.848,2.0067,2022-04-14
69,3.149,0.851,2.0119,2022-04-21
70,2.985,0.97,2.0061,2022-04-28
71,2.942,1.135,2.0464,2022-05-05
72,3.335,1.158,2.1351,2022-05-12
