week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
73,3.099,0.979,2.1761,2022-05-19
74,3.068,0.767,2.0628,2022-05-26
75,3.181,0.969,2.1989,2022-06-02
76,3.442,1.325,2.3331,2022-06-09
77,3.58,0.923,2.3215,2022-06-16
78,3.912,1.466,2.7483,2022-06-23
79,3.757,1.197,2.4908,2022-06-30
80,3.521,1.481,2.5034,2022-07-07
81,4.189,1.828,2.7299,2022-07-14
82,3.726,1.656,2.6918,2022-07-21
83,4.218,2.2,2.948,2022-07-28
84,4.673,1.987,3.1689,2022-08-04
85,4.444,2.387,3.3226,2022-08-11
86,4.231,1.977,3.0189,2022-08-18
87,4.731,1.931,3.1284,2022-08-25
88,5.326,2.785,3.9552,2022-09-01
89,5.118,2.298,3.4857,2022-09-08
90,3.602,1.392,2.5951,2022-09-15
91,4.459,2.042,3.032,2022-09-22
92,3.894,1.55,2.7244,2022-09-29
93,3.585,1.843,2.7512,2022-10-06
94,4.115,1.97,2.678,2022-10-13
95,3.741,1.265,2.4941,2022-10-20
96,3.34,1.477,2.368,2022-10-27
97,3.376,1.288,2.3872,2022-11-03
98,3.222,1.307,2.3485,2022-11-10
99,3.239,1.548,2.3785,2022-11-17
100,3.316,1.299,2.3,2022-11-24
101,3.384,1.349,2.4866,2022-12-01
102,3.646,1.383,2.6301,2022-12-08
103,3.479,1.659,2.6345,2022-12-15
104,3.417,1.435,2.4524,2022-12-22
105,3.331,1.871,2.5575,2022-12-29
106,3.496,1.274,2.5421,2023-01-05
107,3.352,1.811,2.5755,2023-01-12
108,3.305,1.348,2.4867,2023-01-19
109,3.371,1.61,2.4889,2023-01-26
110,3.233,1.194,2.3655,2023-02-02
111,3.482,1.097,2.3429,2023-02-09
112,3.365,1.129,2.3652,2023-02-16
113,3.458,1.137,2.5279,2023-02-23
114,3.407,1.231,2.3141,2023-03-02
115,3.18,1.289,2.3695,2023-03-09
116,3.153,0.958,2.303,2023-03-16
117,3.087,1.024,2.2038,2023-03-23
118,3.122,0.681,2.1068,2023-03-30
119,2.965,0.617,2.037,2023-04-06
120,2.967,0.836,2.166,2023-04-13
121,3.005,0.732,2.043,2023-04-20
122,3.005,0.753,2.065,2023-04-27
123,2.952,0.575,1.9771,2023-05-04
124,3.113,0.824,2.1092,2023-05-11
125,2.871,0.711,2.2319,2023-05-18
126,3.433,0.94,2.1008,2023-05-25
127,3.368,0.458,2.1038,2023-06-01
128,3.127,1.145,2.2105,2023-06-08
129,3.239,1.162,2.2051,2023-06-15
130,3.128,0.692,2.0388,2023-06-22
131,3.141,1.056,2.1927,2023-06-29
132,3.868,0.852,2.3156,2023-07-06
133,4.086,1.564,2.8427,2023-07-13
134,4.29,1.786,2.9084,2023-07-20
135,4.14,2.003,3.0318,2023-07-27
136,3.861,1.651,2.798,2023-08-03
137,4.324,1.572,2.8629,2023-08-10
138,4.031,1.927,2.8042,2023-08-17
139,4.891,1.575,2.9514,2023-08-24
140,4.072,1.257,2.773,2023-08-31
141,4.559,1.784,3.0478,2023-09-07
142,3.427,1.477,2.5829,2023-09-14
143,3.485,1.061,2.4878,2023-09-21
144,3.537,1.184,2.3828,2023-09-28
145,3.922,1.515,2.6294,2023-10-05
146,3.698,1.034,2.4237,2023-10-12
147,3.608,0.939,2.5131,2023-10-19
148,3.305,0.982,2.3211,2023-10-26
149,3.214,1.296,2.3558,2023-11-02
150,3.329,1.155,2.3632,2023-11-09
151,3.315,1.591,2.3917,2023-11-16
152,3.268,1.144,2.3084,2023-11-23
153,3.333,1.216,2.4706,2023-11-30
154,3.422,1.459,2.4879,2023-12-07
155,3.387,1.68,2.5153,2023-12-14
156,3.393,1.619,2.4311,2023-12-21
157,3.385,1.642,2.4252,2023-12-28
158,3.369,1.395,2.5557,2024-01-04
159,3.223,1.601,2.5012,2024-01-11
160,3.338,1.716,2.5252,2024-01-18
161,3.125,1.243,2.3068,2024-01-25
162,3.362,1.245,2.5745,2024-02-01
163,3.284,1.251,2.3647,2024-02-08
164,3.217,1.009,2.3621,2024-02-15
165,3.218,1.196,2.3171,2024-02-22
166,3.13,1.382,2.3189,2024-02-29
167,3.091,0.932,2.2021,2024-03-07
168,3.011,0.87,2.1656,2024-03-14
169,2.987,1.025,2.1576,2024-03-21
170,3.027,1.137,2.1961,2024-03-28
171,3.305,0.876,2.0908,2024-04-04
172,3.034,0.921,2.088,2024-04-11
173,2.936,0.801,2.1232,2024-04-18
174,3.04,0.846,2.0942,2024-04-25
175,3.071,0.772,2.0837,2024-05-02
176,3.122,0.877,2.0901,2024-05-09
177,2.916,0.66,2.06,2024-05-16
178,2.943,0.674,2.0347,2024-05-23
179,3.045,0.833,2.1029,2024-05-30
180,3.022,0.959,2.1651,2024-06-06
181,3.293,0.724,2.1239,2024-06-13
182,4.009,1.3,2.6048,2024-06-20
183,3.526,1.148,2.4658,2024-06-27
184,3.729,1.526,2.6379,2024-07-04
185,3.698,1.578,2.6458,2024-07-11
186,4.392,1.903,2.9162,2024-07-18
187,4.378,1.512,2.8353,2024-07-25
188,4.365,1.892,3.0424,2024-08-01
189,4.594,1.87,3.0174,2024-08-08
190,4.595,1.614,3.0089,2024-08-15
191,3.874,1.437,2.7727,2024-08-22
192,4.804,1.556,2.8349,2024-08-29
193,5.705,2.253,3.7624,2024-09-05
194,3.313,1.534,2.5437,2024-09-12
195,3.537,1.353,2.4785,2024-09-19
196,3.644,1.001,2.4411,2024-09-26
197,3.879,1.578,2.6307,2024-10-03
198,3.388,1.264,2.5242,2024-10-10
199,3.709,1.253,2.4616,2024-10-17
200,3.617,1.656,2.4941,2024-10-24
201,3.385,1.417,2.3965,2024-10-31
202,3.198,1.24,2.3216,2024-11-08
203,3.303,1.498,2.4349,2024-11-15
204,3.287,1.553,2.4274,2024-11-22
205,3.353,1.252,2.4378,2024-11-29
206,3.332,1.403,2.5218,2024-12-06
207,3.553,1.701,2.5862,2024-12-13
208,3.256,1.513,2.5373,2024-12-20
209,3.285,1.657,2.5337,2024-12-27
210,3.443,1.618,2.5592,2025-01-03
211,3.378,1.226,2.4909,2025-01-10
212,3.341,1.317,2.4842,2025-01-17
213,3.45,1.455,2.553,2025-01-24
214,3.327,1.277,2.475,2025-01-31
215,3.355,1.242,2.5896,2025-02-07
216,3.141,1.226,2.3246,2025-02-14
217,3.194,1.244,2.2778,2025-02-21
218,3.251,1.491,2.3784,2025-02-28
219,3.259,1.164,2.4617,2025-03-07
220,3.232,1.229,2.2995,2025-03-14
221,3.06,0.992,2.1925,2025-03-21
222,3.033,1.255,2.2646,2025-03-28
223,3.28,0.931,2.1129,2025-04-04
224,3.098,1.015,2.2248,2025-04-11
225,2.918,1.053,2.101,2025-04-18
226,2.961,1.1,2.1341,2025-04-25
227,3.069,1.103,2.3314,2025-05-02
228,3.658,1.08,2.2548,2025-05-09
229,3.352,1.373,2.294,2025-05-16
230,3.035,1.128,2.2595,2025-05-23
231,3.244,1.646,2.565,2025-05-30
232,3.204,1.401,2.3714,2025-06-06
233,3.675,1.423,2.4677,2025-06-13
234,3.247,0.928,2.2994,2025-06-20
235,3.534,1.388,2.5091,2025-06-27
236,3.965,1.192,2.5633,2025-07-04
237,3.569,1.268,2.6467,2025-07-11
238,3.793,1.481,2.6769,2025-07-18
239,3.698,1.273,2.5358,2025-07-25
240,4.177,1.502,2.749,2025-08-01
241,3.857,1.848,2.8534,2025-08-08
242,4.49,1.447,2.8545,2025-08-15
243,4.583,2.476,3.3848,2025-08-22
244,4.748,2.288,3.4224,2025-08-29
245,4.185,2.16,3.0754,2025-09-05
246,4.717,1.786,3.0872,2025-09-12
247,4.339,2.172,3.1118,2025-09-19
248,3.568,1.624,2.7852,2025-09-26
249,3.632,1.389,2.6211,2025-10-03
250,3.485,1.821,2.663,2025-10-10
251,3.599,1.687,2.4989,2025-10-17
252,3.711,1.591,2.5957,2025-10-24
253,4.179,1.547,2.618,2025-10-31
254,3.464,1.551,2.6111,2025-11-07
255,3.417,1.785,2.5764,2025-11-14
256,3.38,1.554,2.5495,2025-11-21
257,3.268,1.742,2.5223,2025-11-28
258,3.38,1.573,2.6179,2025-12-05
259,3.384,1.943,2.6794,2025-12-12
260,3.513,2.04,2.6948,2025-12-19
261,3.214,2.13,2.6408,2025-12-26
262,3.706,2.03,2.71,2026-01-02
263,3.681,1.874,2.7106,2026-01-09
264,3.788,2.06,2.6936,2026-01-16
265,3.775,2.104,2.6161,2026-01-23
